Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z,Pitch,Roll,Yaw
0.005791,-0.000359,-0.999574,-0.004663,0.001284,-0.003354,0.004249,0.318275,0.282724,-0.002701,0.004319,-1.558689
0.005936,0.000516,-0.996527,-0.002500,0.002545,0.001229,0.004157,0.318254,0.282115,-0.002726,0.004333,-1.558658
0.004798,0.000972,-0.993972,-0.004225,-0.003053,-0.004146,0.003717,0.318222,0.281984,-0.002742,0.004353,-1.558660
0.005206,-0.000142,-0.996649,0.001155,-0.004956,-0.003989,0.003738,0.318529,0.282725,-0.002770,0.004310,-1.558695
0.005742,0.000768,-0.998194,0.000832,-0.000202,-0.005871,0.003945,0.318640,0.282411,-0.002742,0.004309,-1.558718
0.004483,0.001283,-0.995711,-0.000422,0.001924,-0.007323,0.004105,0.318445,0.281887,-0.002733,0.004294,-1.558765
0.005123,0.000309,-0.996080,-0.001751,0.000297,-0.003239,0.004114,0.318318,0.282468,-0.002754,0.004326,-1.558784
0.004501,-0.000381,-0.996416,-0.001684,0.003777,-0.005897,0.004003,0.318354,0.283243,-0.002737,0.004325,-1.558808
0.004778,-0.000549,-0.998420,-0.006641,0.006871,-0.000859,0.004098,0.318381,0.283643,-0.002781,0.004380,-1.558842
0.004624,0.001133,-0.998000,-0.005058,-0.000113,-0.000283,0.004089,0.318574,0.283322,-0.002832,0.004425,-1.558801
0.005460,0.001294,-0.996069,-0.003363,0.001270,-0.000609,0.003971,0.318686,0.282228,-0.002872,0.004409,-1.558797
0.005197,0.001522,-0.993853,-0.001967,-0.000804,0.004381,0.003901,0.318159,0.281232,-0.002889,0.004449,-1.558767
0.005037,0.001026,-0.995602,-0.001025,-0.001917,0.004614,0.004120,0.317988,0.281692,-0.002893,0.004440,-1.558697
0.005155,0.000211,-0.999054,-0.000938,-0.002810,0.002680,0.004382,0.317831,0.281581,-0.002907,0.004417,-1.558662
0.004852,-0.000298,-1.000123,-0.000834,0.000369,-0.003578,0.003949,0.318101,0.282087,-0.002893,0.004398,-1.558617
0.004746,0.000697,-0.997295,0.000397,0.004504,-0.004635,0.003909,0.318781,0.282617,-0.002886,0.004440,-1.558674
0.005110,0.001603,-0.994350,-0.002293,-0.000936,-0.005482,0.004401,0.318940,0.282733,-0.002913,0.004479,-1.558690
0.005011,0.001515,-0.996113,-0.001043,-0.002866,-0.006327,0.004304,0.318503,0.282250,-0.002918,0.004463,-1.558739
0.004631,0.001464,-0.997390,-0.001687,-0.001048,0.000058,0.003825,0.318150,0.281622,-0.002913,0.004426,-1.558770
0.004864,0.001041,-0.997406,0.000925,-0.000117,0.002176,0.004404,0.318693,0.281963,-0.002940,0.004440,-1.558711
0.005405,0.000389,-0.996976,0.001800,-0.001141,-0.002554,0.004385,0.318784,0.281666,-0.002905,0.004417,-1.558699
0.004841,0.000519,-0.996781,-0.005149,0.000186,-0.001755,0.004315,0.318274,0.281909,-0.002922,0.004428,-1.558707
0.005160,0.000921,-0.996658,-0.002023,-0.001801,-0.001933,0.004100,0.318495,0.282442,-0.002972,0.004412,-1.558704
0.004750,-0.000266,-0.996273,-0.000237,0.000581,0.000212,0.003939,0.318685,0.281782,-0.002959,0.004395,-1.558702
0.005434,0.000394,-0.998047,-0.000082,0.002969,-0.003472,0.003995,0.318430,0.281191,-0.002969,0.004391,-1.558692
0.005626,0.001173,-0.997860,-0.002310,-0.000335,-0.004405,0.004222,0.318656,0.282002,-0.002956,0.004451,-1.558711
0.005032,0.001397,-0.997992,-0.004065,-0.004481,-0.004912,0.004235,0.318711,0.281905,-0.002968,0.004388,-1.558735
0.005383,0.000684,-0.998139,-0.003766,0.000062,-0.005712,0.004204,0.318856,0.282220,-0.002999,0.004337,-1.558782
0.004735,0.000397,-0.995830,0.001842,-0.000978,-0.004026,0.004053,0.318888,0.282106,-0.003011,0.004375,-1.558811
0.005028,0.000588,-0.994071,-0.005578,0.002203,0.001939,0.004170,0.318504,0.282501,-0.003001,0.004369,-1.558802
0.005288,-0.000184,-0.994910,0.000632,-0.000543,-0.001296,0.004384,0.318111,0.282499,-0.003033,0.004398,-1.558755
0.005959,0.000427,-0.998726,0.000499,-0.001961,-0.003758,0.004532,0.318283,0.281977,-0.002992,0.004413,-1.558738
0.006331,-0.000046,-0.999953,0.001022,-0.000231,-0.005090,0.004018,0.318730,0.282161,-0.002987,0.004396,-1.558785
0.005998,-0.000064,-0.997716,0.000737,-0.000565,-0.000858,0.003973,0.318501,0.282364,-0.002959,0.004406,-1.558787
0.004577,0.000405,-0.995345,-0.002244,-0.002836,-0.002454,0.004387,0.318467,0.282410,-0.002966,0.004422,-1.558755
0.005024,0.001838,-0.995561,0.001598,0.000121,0.002510,0.004214,0.318673,0.282650,-0.002965,0.004399,-1.558748
0.004906,0.001123,-0.995994,0.001607,-0.000625,-0.004420,0.004189,0.318375,0.282110,-0.002928,0.004420,-1.558706
0.004659,0.001404,-0.994881,0.000173,-0.001774,-0.004902,0.004080,0.318968,0.282268,-0.002928,0.004378,-1.558769
0.003833,0.000386,-0.995685,-0.002029,-0.000928,-0.005476,0.004352,0.317955,0.281555,-0.002910,0.004358,-1.558782
0.004544,-0.000173,-0.997538,-0.000053,-0.000482,-0.002514,0.004018,0.317796,0.282358,-0.002940,0.004355,-1.558827
0.004884,0.000346,-0.999345,0.002060,-0.001787,-0.003471,0.004371,0.318180,0.282795,-0.002887,0.004346,-1.558826
0.004646,0.000602,-0.998265,0.001406,-0.002817,-0.003771,0.004946,0.318175,0.283048,-0.002880,0.004331,-1.558833
0.004764,0.000962,-0.996194,-0.001156,-0.006881,-0.001961,0.004690,0.318630,0.282968,-0.002860,0.004322,-1.558819
0.004745,0.001018,-0.994838,-0.000545,-0.002815,-0.003655,0.004420,0.318532,0.282610,-0.002861,0.004231,-1.558810
0.004967,0.001311,-0.994623,0.002343,0.002739,-0.003297,0.004201,0.318096,0.281751,-0.002826,0.004284,-1.558815
0.005507,0.001329,-0.997395,-0.002634,-0.001464,0.000373,0.003949,0.317853,0.281710,-0.002802,0.004276,-1.558832
0.004597,0.001019,-0.997876,-0.003192,-0.004498,-0.003426,0.004024,0.317992,0.282292,-0.002848,0.004256,-1.558774
0.004785,0.000896,-0.997788,0.000940,-0.004809,-0.007015,0.004043,0.318731,0.282813,-0.002842,0.004202,-1.558861
0.004425,0.000964,-0.996565,-0.000473,0.000604,-0.001973,0.004355,0.318362,0.281772,-0.002852,0.004139,-1.558854
0.005007,0.001344,-0.996847,-0.000600,-0.001250,-0.000501,0.004188,0.318277,0.282527,-0.002837,0.004153,-1.558876
0.004693,0.000885,-0.996340,-0.001776,-0.004619,-0.003624,0.003947,0.318450,0.282049,-0.002822,0.004101,-1.558874
0.005023,0.000875,-0.996042,-0.003126,-0.000811,-0.003444,0.004219,0.318598,0.281927,-0.002861,0.004086,-1.558895
0.005358,0.001528,-0.995204,0.002982,-0.002662,-0.003903,0.004258,0.318835,0.282702,-0.002848,0.004046,-1.558912
0.005094,0.000383,-0.998090,0.000726,-0.004225,-0.005703,0.003874,0.318691,0.282722,-0.002816,0.004035,-1.558941
0.005827,-0.000060,-0.999765,-0.002071,-0.001023,-0.000235,0.003851,0.318479,0.281501,-0.002816,0.003999,-1.558976
0.005042,0.000844,-0.995233,-0.001910,-0.000786,0.000042,0.004019,0.318452,0.281775,-0.002821,0.004005,-1.558960
0.005025,0.002077,-0.993896,-0.001449,0.000957,-0.002214,0.004280,0.318374,0.282520,-0.002847,0.004003,-1.558941
0.003739,0.000948,-0.996016,-0.002079,-0.008048,0.000893,0.004133,0.318778,0.283306,-0.002845,0.003967,-1.558930
0.004538,0.001622,-0.998967,0.001781,-0.007048,-0.005185,0.003847,0.318380,0.281877,-0.002865,0.003932,-1.558930
0.003978,0.001250,-0.999397,0.001490,-0.005918,-0.000029,0.003657,0.318297,0.281871,-0.002836,0.003838,-1.558980
0.003803,0.001171,-0.996607,-0.000991,0.000811,0.001611,0.003753,0.318465,0.283056,-0.002821,0.003789,-1.558943
0.004832,0.000944,-0.995827,0.000976,0.001405,0.003395,0.004046,0.318675,0.282219,-0.002828,0.003813,-1.558913
0.005252,0.000399,-0.995699,0.002232,0.000950,0.002188,0.004485,0.318810,0.281349,-0.002801,0.003813,-1.558841
0.005377,0.001122,-0.997398,-0.002607,0.001743,-0.002050,0.004697,0.317626,0.281103,-0.002791,0.003861,-1.558847
0.004713,0.001288,-0.996719,-0.000902,-0.002955,0.001452,0.004270,0.317835,0.282127,-0.002839,0.003841,-1.558818
0.004716,0.000883,-0.996561,0.001561,0.000104,0.001005,0.003998,0.318152,0.282078,-0.002810,0.003815,-1.558785
0.004660,0.001611,-0.996730,-0.001268,-0.002905,0.002101,0.003733,0.317828,0.281974,-0.002795,0.003783,-1.558769
0.004630,0.001703,-0.997188,0.000129,-0.000531,0.005282,0.004137,0.318522,0.282656,-0.002799,0.003755,-1.558731
0.004607,0.000260,-0.998302,0.000734,0.003089,0.004766,0.004145,0.318143,0.281710,-0.002780,0.003758,-1.558684
0.005036,0.000913,-0.997016,-0.000511,0.003031,0.003409,0.004136,0.317949,0.281987,-0.002783,0.003801,-1.558617
0.004264,0.001915,-0.995305,0.000181,-0.000483,-0.000656,0.003887,0.318424,0.281931,-0.002770,0.003808,-1.558604
0.004059,0.000471,-0.995991,0.001144,-0.000949,0.003537,0.004043,0.318787,0.282322,-0.002740,0.003773,-1.558592
0.003894,0.001251,-0.996903,-0.000661,-0.001193,-0.000232,0.004177,0.318766,0.282305,-0.002745,0.003784,-1.558521
0.003022,0.001229,-0.996431,0.001517,-0.001482,-0.001561,0.003951,0.318041,0.281761,-0.002725,0.003722,-1.558525
