Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z,Pitch,Roll,Yaw
0.006296,-0.002833,-0.996254,-0.002105,-0.001332,-0.001320,0.045317,0.301577,0.293314,0.003133,0.009915,-1.416198
0.005944,-0.002197,-0.995797,-0.000282,-0.001313,0.002290,0.045201,0.301604,0.292935,0.003135,0.009882,-1.416189
0.005882,-0.002579,-0.995637,0.005168,-0.001628,0.002942,0.044980,0.301640,0.292922,0.003172,0.009837,-1.416178
0.006757,-0.002033,-0.995067,0.005115,-0.001892,0.002110,0.045017,0.301917,0.292707,0.003233,0.009808,-1.416099
0.007034,-0.002206,-0.993942,-0.001818,-0.001536,-0.005138,0.045154,0.302050,0.292309,0.003211,0.009796,-1.416186
0.006212,-0.002269,-0.993561,-0.006709,0.002497,-0.006281,0.045613,0.301880,0.292156,0.003136,0.009818,-1.416225
0.006465,-0.002162,-0.994922,-0.002349,0.011163,0.001579,0.045603,0.301466,0.292491,0.003116,0.009897,-1.416195
0.005886,-0.001602,-0.995482,0.001812,0.007428,-0.002537,0.045546,0.301692,0.292341,0.003124,0.009914,-1.416237
0.006207,-0.002693,-0.996556,0.000730,0.002210,-0.000481,0.045810,0.301759,0.292544,0.003127,0.009890,-1.416231
0.007071,-0.003057,-0.997335,0.002322,0.000830,0.003383,0.045314,0.301514,0.292989,0.003149,0.009890,-1.416171
0.007178,-0.002669,-0.997144,0.002849,-0.000277,0.000985,0.045292,0.301462,0.292394,0.003156,0.009884,-1.416178
0.006096,-0.002720,-0.994675,0.000126,-0.002451,-0.000402,0.046029,0.301489,0.291390,0.003125,0.009865,-1.416166
0.006188,-0.002171,-0.995921,0.000557,0.000692,-0.005894,0.045971,0.301633,0.292125,0.003139,0.009853,-1.416239
0.006484,-0.002490,-0.996896,-0.001742,0.003206,-0.007140,0.045678,0.301207,0.292122,0.003125,0.009855,-1.416265
0.006437,-0.002733,-0.996787,-0.001128,0.001897,-0.001095,0.045536,0.301313,0.292864,0.003109,0.009879,-1.416256
0.007580,-0.002408,-0.997027,-0.003025,0.000786,-0.001425,0.045373,0.301622,0.292835,0.003054,0.009869,-1.416258
0.006573,-0.001673,-0.996063,-0.004019,-0.001134,-0.000101,0.045509,0.301257,0.293194,0.003013,0.009817,-1.416232
0.006833,-0.001802,-0.995918,-0.000092,-0.000092,0.000524,0.045653,0.301544,0.292079,0.003030,0.009816,-1.416234
0.006039,-0.002347,-0.995256,0.003504,-0.000903,0.002512,0.045353,0.301737,0.292452,0.003071,0.009800,-1.416194
0.006665,-0.003004,-0.996142,0.000129,-0.003492,-0.003378,0.045204,0.301859,0.293144,0.003061,0.009766,-1.416259
0.006288,-0.003333,-0.996190,-0.002456,0.000634,-0.001166,0.045632,0.301975,0.292646,0.003008,0.009769,-1.416218
0.006788,-0.003970,-0.995710,-0.003203,0.004633,0.001963,0.045577,0.301908,0.293188,0.002977,0.009822,-1.416202
0.006526,-0.003241,-0.996652,0.002434,-0.000627,0.004820,0.045732,0.301665,0.293874,0.002998,0.009822,-1.416139
0.005829,-0.003396,-0.997613,-0.000253,-0.001679,-0.001250,0.045843,0.301950,0.292502,0.002994,0.009834,-1.416159
0.005309,-0.002221,-0.996381,-0.000526,0.001118,-0.003040,0.045380,0.302008,0.292308,0.002987,0.009794,-1.416201
0.005093,-0.001234,-0.996199,0.000909,0.000098,0.004673,0.045375,0.301892,0.292605,0.002977,0.009804,-1.416138
0.005399,-0.001484,-0.995434,0.001595,-0.001533,0.000526,0.045419,0.301662,0.291337,0.002994,0.009781,-1.416178
0.005998,-0.003346,-0.996513,0.003277,0.000528,0.000124,0.045490,0.301573,0.290715,0.003032,0.009785,-1.416174
0.005630,-0.003573,-0.996922,-0.000579,0.001945,0.001122,0.045400,0.301515,0.291368,0.003028,0.009768,-1.416158
0.005760,-0.002088,-0.995973,-0.004939,0.004473,0.000608,0.045556,0.301747,0.293180,0.002972,0.009815,-1.416135
0.006961,-0.002018,-0.996017,-0.001383,0.004346,0.002908,0.045431,0.301630,0.293350,0.002964,0.009849,-1.416116
0.005404,-0.003039,-0.995705,0.000544,-0.004427,-0.000125,0.045641,0.301775,0.293210,0.002983,0.009791,-1.416127
0.006348,-0.003069,-0.996022,-0.004832,-0.002420,-0.002351,0.045623,0.301590,0.293456,0.002904,0.009756,-1.416156
0.007142,-0.002091,-0.997252,-0.002559,-0.000412,0.000861,0.045357,0.301477,0.293491,0.002890,0.009753,-1.416121
0.005901,-0.002383,-0.995882,0.000907,0.003761,0.004252,0.045307,0.301777,0.293887,0.002905,0.009753,-1.416085
0.005522,-0.003585,-0.995523,0.000225,-0.000885,0.000556,0.045195,0.301788,0.292986,0.002908,0.009718,-1.416094
0.006480,-0.003028,-0.994178,-0.002792,0.001859,-0.001813,0.045541,0.302008,0.293388,0.002893,0.009737,-1.416124
0.006037,-0.002787,-0.996068,0.002338,0.001303,0.000077,0.045531,0.301674,0.292652,0.002914,0.009766,-1.416121
0.005466,-0.002258,-0.996587,0.001244,0.000276,-0.002332,0.045567,0.300954,0.291085,0.002918,0.009731,-1.416134
0.004675,-0.001732,-0.995976,-0.002042,-0.000262,-0.005238,0.045385,0.301338,0.291361,0.002885,0.009715,-1.416203
0.005747,-0.001783,-0.996989,0.000374,-0.000755,-0.007113,0.045067,0.301699,0.292948,0.002867,0.009673,-1.416253
0.005539,-0.002802,-0.996740,-0.000959,0.002461,0.002956,0.045173,0.301526,0.292762,0.002891,0.009684,-1.416226
0.005211,-0.002765,-0.995387,-0.000903,0.005734,0.003157,0.045228,0.301442,0.291596,0.002880,0.009735,-1.416194
0.004863,-0.002817,-0.995511,0.001607,0.000228,-0.000829,0.045115,0.301646,0.292296,0.002895,0.009711,-1.416186
0.005148,-0.002415,-0.997374,0.000320,-0.000082,0.005037,0.045130,0.301880,0.293260,0.002895,0.009701,-1.416155
0.005850,-0.002763,-0.998207,0.001823,0.004525,0.002483,0.045508,0.301575,0.292070,0.002917,0.009730,-1.416115
0.004881,-0.003445,-0.996864,-0.001238,0.004224,-0.002248,0.045585,0.301653,0.289958,0.002918,0.009735,-1.416135
0.005437,-0.002388,-0.996890,0.002969,-0.003506,0.003481,0.045154,0.301747,0.291284,0.002915,0.009673,-1.416080
0.005364,-0.001449,-0.996292,0.004821,0.001432,0.002179,0.045130,0.301746,0.293071,0.002957,0.009701,-1.416052
0.005095,-0.001656,-0.995821,0.002188,0.001210,-0.000822,0.045172,0.301711,0.292694,0.002974,0.009696,-1.416072
0.004668,-0.001846,-0.994881,0.002030,0.003880,0.000842,0.045366,0.301589,0.293075,0.002972,0.009730,-1.416090
0.006004,-0.001969,-0.997345,-0.002981,0.000313,0.002123,0.045347,0.301577,0.292378,0.002941,0.009715,-1.416042
0.006005,-0.001612,-0.995909,-0.001855,-0.000735,0.004844,0.045271,0.301302,0.292668,0.002936,0.009685,-1.415997
0.006552,-0.001608,-0.994937,0.000344,-0.001473,0.001447,0.045427,0.301469,0.292824,0.002918,0.009669,-1.415997
0.006161,-0.001316,-0.995334,0.000425,0.004159,0.000168,0.045045,0.301727,0.292640,0.002930,0.009690,-1.416004
0.005653,-0.002378,-0.995129,0.001005,0.002224,-0.002988,0.044931,0.301685,0.292970,0.002937,0.009722,-1.416061
0.006499,-0.002760,-0.994681,-0.002652,0.002203,0.000229,0.044950,0.301720,0.293819,0.002945,0.009737,-1.416041
0.005535,-0.003623,-0.995712,-0.001486,-0.001898,-0.003954,0.045277,0.301700,0.292816,0.002908,0.009683,-1.416094
0.005395,-0.003334,-0.997037,-0.000993,-0.001799,-0.003047,0.045084,0.302086,0.293086,0.002889,0.009665,-1.416099
0.005238,-0.002959,-0.997324,0.001975,0.001912,-0.001192,0.045063,0.302035,0.292845,0.002924,0.009699,-1.416104
0.005353,-0.002962,-0.996353,0.001294,-0.000069,-0.001466,0.045470,0.301596,0.292467,0.002938,0.009704,-1.416135
0.005288,-0.002081,-0.996678,0.002749,0.004552,0.001303,0.045967,0.301877,0.292306,0.002961,0.009741,-1.416092
