Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z,Pitch,Roll,Yaw
0.001570,0.007021,-0.997547,0.005497,0.001492,-0.001542,0.018197,-0.171682,0.363641,-0.002083,0.001891,1.451322
0.001526,0.007583,-0.998008,-0.003952,-0.002559,0.003541,0.018332,-0.171852,0.363278,-0.002147,0.001860,1.451364
0.002453,0.007271,-0.998690,-0.003991,-0.004940,0.002053,0.018166,-0.172018,0.363670,-0.002213,0.001821,1.451411
0.002356,0.006941,-0.998244,0.002043,-0.001431,-0.000384,0.018129,-0.171829,0.363401,-0.002213,0.001786,1.451430
0.001885,0.007285,-0.998853,0.007466,-0.001616,-0.003389,0.018093,-0.171853,0.362905,-0.002164,0.001799,1.451419
0.001149,0.007110,-0.997876,0.003155,-0.004550,-0.001406,0.018521,-0.171889,0.363634,-0.002150,0.001731,1.451435
0.000771,0.008237,-0.996982,0.004024,-0.001203,-0.001779,0.018555,-0.172060,0.363654,-0.002116,0.001693,1.451464
0.000903,0.009677,-0.996466,0.000679,0.000453,-0.002179,0.018153,-0.171969,0.363593,-0.002123,0.001678,1.451455
0.001387,0.009450,-0.997771,0.000228,0.003172,0.002070,0.018133,-0.171767,0.363835,-0.002157,0.001726,1.451543
0.001379,0.007714,-0.998171,-0.000133,0.002998,-0.001917,0.018446,-0.171707,0.363919,-0.002188,0.001743,1.451528
0.000581,0.006955,-0.999868,0.003875,0.000332,-0.002822,0.018632,-0.171674,0.363140,-0.002170,0.001729,1.451512
0.000953,0.008115,-0.998242,0.003006,0.006353,0.003489,0.018454,-0.171663,0.363809,-0.002162,0.001763,1.451580
0.001121,0.007672,-0.998298,0.005166,0.004395,0.002371,0.018143,-0.171608,0.362943,-0.002125,0.001818,1.451612
0.000638,0.007921,-0.999330,0.003441,-0.000920,0.000284,0.018230,-0.171602,0.363074,-0.002111,0.001788,1.451659
0.001077,0.008289,-0.998916,-0.003534,-0.001810,-0.003256,0.018344,-0.171507,0.364781,-0.002133,0.001769,1.451665
0.001514,0.007301,-0.999273,-0.004269,0.001912,-0.006678,0.018220,-0.171817,0.365351,-0.002218,0.001809,1.451619
0.001690,0.007816,-0.998676,0.004315,-0.002587,-0.003739,0.018238,-0.171761,0.364690,-0.002204,0.001779,1.451597
0.001078,0.008325,-0.997927,0.004430,0.005009,-0.001310,0.018185,-0.171784,0.363579,-0.002180,0.001846,1.451605
0.001822,0.007918,-0.998025,-0.000832,-0.001924,-0.003013,0.018266,-0.172202,0.364604,-0.002222,0.001809,1.451620
0.000495,0.008344,-0.998221,0.001878,-0.003964,-0.003730,0.018422,-0.172285,0.364417,-0.002210,0.001754,1.451631
0.000658,0.008554,-0.998764,0.003702,0.001829,-0.006942,0.018457,-0.171843,0.364004,-0.002217,0.001790,1.451589
0.001311,0.008164,-0.998468,0.005214,-0.001652,-0.005988,0.018291,-0.172078,0.363927,-0.002209,0.001785,1.451535
0.002220,0.007921,-0.998056,0.005876,0.000095,-0.002533,0.018236,-0.172192,0.363743,-0.002169,0.001787,1.451559
0.001791,0.007360,-0.998329,0.000793,0.000346,-0.006006,0.018418,-0.172162,0.363800,-0.002203,0.001775,1.451551
0.001726,0.006792,-0.999582,0.000420,-0.003308,-0.009041,0.018171,-0.172134,0.363855,-0.002214,0.001745,1.451449
0.000426,0.006900,-0.998574,0.000441,0.006203,-0.003482,0.018189,-0.172364,0.363780,-0.002235,0.001780,1.451467
0.001310,0.007789,-0.997819,0.001543,0.004014,-0.001795,0.018082,-0.171874,0.363948,-0.002238,0.001833,1.451443
0.001251,0.008050,-0.998973,-0.000604,0.000031,-0.003965,0.018103,-0.171511,0.364150,-0.002271,0.001836,1.451462
0.001516,0.008450,-0.998131,0.000466,-0.002888,-0.004936,0.018004,-0.171571,0.364144,-0.002294,0.001817,1.451440
0.001094,0.009099,-0.997101,-0.000352,0.002357,-0.003218,0.018127,-0.171735,0.363627,-0.002317,0.001839,1.451440
0.000367,0.008739,-0.998140,0.001944,-0.000410,-0.002300,0.018029,-0.172043,0.363687,-0.002336,0.001813,1.451430
0.001366,0.008331,-0.997490,-0.000267,-0.003061,0.002747,0.018362,-0.172091,0.363209,-0.002348,0.001799,1.451479
0.001372,0.008045,-0.997725,0.000241,-0.000704,0.000642,0.018688,-0.171761,0.363100,-0.002409,0.001792,1.451520
0.000970,0.007802,-0.997953,0.005525,-0.003575,-0.003389,0.018348,-0.171647,0.363392,-0.002355,0.001749,1.451519
