Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z,Pitch,Roll,Yaw
0.005119,0.001221,-0.997597,0.006054,0.000071,-0.003654,-0.018047,0.314111,0.278403,-0.002884,0.006912,-1.624592
0.005223,0.002694,-0.995463,-0.003223,-0.003774,-0.001687,-0.018124,0.314074,0.276975,-0.002832,0.006908,-1.624624
0.005151,0.002534,-0.996449,-0.005429,-0.002905,0.000878,-0.017430,0.314166,0.278036,-0.002913,0.006865,-1.624615
0.004940,0.001546,-0.997075,-0.003930,-0.002219,-0.000153,-0.017455,0.313874,0.278347,-0.002933,0.006842,-1.624605
0.004295,0.001405,-0.996303,0.001379,-0.000389,-0.001653,-0.017744,0.314014,0.277175,-0.002980,0.006818,-1.624607
0.004823,0.000862,-0.997638,0.000743,0.000537,-0.004670,-0.017896,0.314176,0.277494,-0.002930,0.006804,-1.624633
0.005699,0.001046,-0.996649,-0.001304,-0.002161,-0.002156,-0.018200,0.314633,0.277192,-0.002949,0.006794,-1.624658
0.005666,0.001553,-0.996343,0.001887,-0.002599,-0.003362,-0.018350,0.314350,0.277194,-0.002937,0.006765,-1.624645
0.005003,0.002362,-0.994779,-0.001295,0.000672,-0.003123,-0.017949,0.314078,0.278893,-0.002934,0.006744,-1.624704
0.004576,0.002486,-0.993392,-0.000281,0.002544,0.003052,-0.017971,0.313944,0.278180,-0.002941,0.006744,-1.624689
0.004307,0.002140,-0.993785,0.002997,0.003298,-0.001509,-0.018014,0.314160,0.278125,-0.002927,0.006755,-1.624676
0.004798,0.001070,-0.997845,0.000020,0.003354,-0.002331,-0.018066,0.313961,0.277338,-0.002906,0.006785,-1.624712
0.004815,-0.000243,-0.999059,0.000371,0.001944,-0.000910,-0.018247,0.314223,0.277284,-0.002912,0.006807,-1.624731
0.004550,0.000702,-0.998835,0.003822,-0.003639,-0.000846,-0.018228,0.313916,0.277621,-0.002864,0.006790,-1.624719
0.005584,0.000719,-0.995932,-0.000339,-0.004555,-0.000570,-0.017731,0.313872,0.277901,-0.002846,0.006729,-1.624723
0.006215,0.000897,-0.994865,-0.000994,-0.004439,-0.001761,-0.017636,0.314079,0.277970,-0.002868,0.006654,-1.624733
0.005088,0.001549,-0.995099,0.001721,0.000042,0.001742,-0.017888,0.313775,0.278120,-0.002849,0.006636,-1.624702
0.003673,0.002362,-0.996139,0.000238,-0.001137,-0.001944,-0.017849,0.313402,0.278366,-0.002826,0.006643,-1.624699
0.004128,0.002060,-0.996708,0.000948,0.000121,-0.003822,-0.018075,0.313783,0.278510,-0.002842,0.006628,-1.624737
0.003255,0.001392,-0.997407,0.000403,0.000196,0.001132,-0.017930,0.313809,0.278073,-0.002824,0.006638,-1.624750
0.004714,0.001343,-0.997920,0.003324,-0.000850,-0.004199,-0.017900,0.314540,0.278324,-0.002807,0.006610,-1.624730
0.005950,0.000565,-0.996828,0.002176,-0.002457,-0.005077,-0.017797,0.314293,0.278489,-0.002767,0.006610,-1.624795
0.006965,0.001252,-0.995747,0.001644,0.003711,-0.005051,-0.017795,0.313576,0.277272,-0.002783,0.006592,-1.624820
0.005887,0.000021,-0.997345,-0.002285,0.005935,-0.005181,-0.018009,0.313944,0.277377,-0.002740,0.006636,-1.624834
0.006118,0.000802,-0.997928,-0.002462,0.007359,-0.005214,-0.017933,0.314017,0.279306,-0.002779,0.006705,-1.624883
0.005429,0.001324,-0.997963,0.000371,0.000754,-0.000497,-0.017794,0.313832,0.278818,-0.002787,0.006757,-1.624879
0.004934,0.002389,-0.996485,0.001493,-0.003427,0.001416,-0.017815,0.313871,0.278410,-0.002757,0.006733,-1.624850
0.004735,0.002326,-0.993646,-0.003623,-0.001775,-0.003981,-0.017958,0.313697,0.278726,-0.002758,0.006702,-1.624850
0.004570,0.001203,-0.994810,-0.004296,-0.001198,0.004463,-0.018126,0.313834,0.278042,-0.002817,0.006666,-1.624862
0.004649,0.002126,-0.998162,0.001101,0.002324,0.003417,-0.017938,0.313830,0.278458,-0.002828,0.006649,-1.624810
0.004331,0.002246,-0.998142,0.001982,0.002729,-0.000302,-0.018045,0.314142,0.278142,-0.002788,0.006693,-1.624811
0.005077,0.002430,-0.996161,0.002167,-0.001097,0.000236,-0.017740,0.313621,0.278958,-0.002795,0.006655,-1.624826
0.005779,0.002263,-0.995223,0.001896,0.007544,-0.000446,-0.017930,0.313581,0.279785,-0.002779,0.006702,-1.624807
0.006012,0.000551,-0.996435,-0.000771,0.001627,0.001718,-0.018090,0.314082,0.278299,-0.002753,0.006761,-1.624809
0.005472,0.001258,-0.997005,-0.003304,0.000288,-0.000652,-0.018232,0.314239,0.279276,-0.002794,0.006760,-1.624804
0.006197,0.000946,-0.997961,-0.001586,-0.000352,0.002899,-0.018082,0.313791,0.279323,-0.002837,0.006726,-1.624796
0.005844,0.000206,-0.998439,0.000112,-0.000275,0.001127,-0.017993,0.313621,0.279373,-0.002857,0.006708,-1.624780
0.006402,0.001835,-0.997465,-0.005417,-0.003474,0.001156,-0.017741,0.313591,0.279023,-0.002839,0.006690,-1.624731
0.005622,0.001840,-0.996334,-0.001232,0.001682,-0.001064,-0.018027,0.313690,0.279436,-0.002897,0.006672,-1.624732
0.005344,0.000944,-0.995692,0.003944,0.002907,-0.002773,-0.017891,0.313765,0.279040,-0.002878,0.006681,-1.624760
0.005749,0.001229,-0.996052,-0.002214,-0.001228,0.002102,-0.017877,0.313900,0.279045,-0.002842,0.006692,-1.624761
0.005926,0.000843,-0.996273,-0.003696,-0.002948,-0.005199,-0.017578,0.313662,0.279481,-0.002886,0.006650,-1.624755
0.005298,0.000786,-0.998035,0.000501,-0.001040,-0.004223,-0.017902,0.313111,0.279522,-0.002885,0.006619,-1.624795
0.005988,0.000286,-0.998189,0.002359,0.001659,-0.003607,-0.018103,0.313284,0.279521,-0.002873,0.006631,-1.624820
0.005921,0.000757,-0.996599,0.002095,-0.001366,-0.001277,-0.018284,0.313585,0.279884,-0.002810,0.006651,-1.624846
0.005099,0.001659,-0.995662,-0.000372,-0.000055,0.001809,-0.017661,0.314165,0.278847,-0.002830,0.006627,-1.624816
0.005296,0.001734,-0.996083,-0.001886,-0.001772,0.002631,-0.017761,0.313821,0.278168,-0.002828,0.006604,-1.624809
0.005537,0.001384,-0.996165,-0.001334,-0.001123,0.000644,-0.018071,0.313621,0.278690,-0.002822,0.006556,-1.624769
0.005190,0.001656,-0.996938,-0.001844,0.005602,0.000124,-0.018207,0.313905,0.279259,-0.002810,0.006598,-1.624781
0.004407,0.001314,-0.996989,-0.000690,0.001229,0.001767,-0.018511,0.313642,0.279849,-0.002835,0.006630,-1.624743
0.004211,0.001556,-0.997348,-0.002512,0.002936,-0.001589,-0.018361,0.313887,0.280324,-0.002814,0.006616,-1.624736
0.005297,0.002136,-0.997892,-0.004124,-0.001253,-0.003088,-0.017952,0.313752,0.280148,-0.002848,0.006646,-1.624766
0.005610,0.002607,-0.995989,0.001444,0.000956,-0.004537,-0.017702,0.313887,0.279635,-0.002895,0.006637,-1.624800
0.005488,0.000955,-0.996545,0.001057,-0.001923,-0.005183,-0.018005,0.313882,0.281050,-0.002851,0.006641,-1.624822
0.005727,0.001033,-0.996067,-0.002142,0.007991,-0.003676,-0.018109,0.313989,0.281228,-0.002881,0.006631,-1.624872
0.006349,0.002685,-0.996181,0.003570,0.007871,0.002668,-0.018238,0.313527,0.280724,-0.002857,0.006731,-1.624860
0.006509,0.002306,-0.996303,0.003167,0.004231,0.001678,-0.017915,0.313602,0.279709,-0.002826,0.006789,-1.624836
0.006790,0.001195,-0.996239,-0.001996,0.001667,0.000378,-0.017919,0.313684,0.279940,-0.002807,0.006794,-1.624782
0.006164,0.001249,-0.996214,-0.003800,0.003643,0.001384,-0.017928,0.313742,0.281101,-0.002833,0.006801,-1.624811
0.005766,0.000703,-0.997429,0.000288,0.003842,-0.000162,-0.017822,0.313873,0.280952,-0.002857,0.006840,-1.624761
0.005511,0.000249,-0.997315,-0.000333,0.006088,-0.002354,-0.017838,0.313838,0.280081,-0.002851,0.006878,-1.624785
0.005690,0.001030,-0.997652,-0.003052,0.007039,0.000540,-0.017779,0.313550,0.279887,-0.002835,0.006947,-1.624798
0.005597,0.000551,-0.997409,-0.001106,0.003250,-0.000257,-0.017891,0.313858,0.279827,-0.002882,0.006982,-1.624785
0.004970,0.001678,-0.995808,-0.002167,-0.000641,0.001899,-0.018161,0.314178,0.279522,-0.002863,0.006995,-1.624783
0.005009,0.001358,-0.996173,-0.002922,0.004626,0.005382,-0.017956,0.314225,0.279266,-0.002871,0.006986,-1.624762
0.006410,0.001034,-0.997246,0.000487,0.003307,0.000443,-0.017979,0.313593,0.279738,-0.002887,0.007023,-1.624713
0.004869,0.001664,-0.996353,-0.000885,0.000376,0.000305,-0.017496,0.312960,0.280711,-0.002841,0.007046,-1.624672
0.005829,0.001748,-0.996678,-0.004915,-0.002324,-0.003211,-0.017029,0.313111,0.280005,-0.002867,0.007023,-1.624709
0.005369,0.002166,-0.997827,-0.002017,0.000083,0.000235,-0.017338,0.313631,0.279623,-0.002919,0.006998,-1.624707
0.005476,0.002188,-0.996971,0.002917,0.003798,0.005177,-0.017658,0.313827,0.280505,-0.002899,0.006990,-1.624677
0.005749,0.000284,-0.996622,-0.003350,0.002383,0.000861,-0.017325,0.313804,0.280980,-0.002892,0.007024,-1.624632
0.004835,0.001206,-0.996519,-0.001594,-0.003497,0.000158,-0.017572,0.313574,0.280779,-0.002936,0.007009,-1.624641
0.004250,0.001746,-0.997389,-0.001063,-0.003461,-0.001720,-0.017884,0.313906,0.279932,-0.002921,0.006974,-1.624623
0.004914,0.001391,-0.997634,0.003732,-0.004215,-0.003352,-0.017893,0.313608,0.280226,-0.002937,0.006900,-1.624659
0.004913,0.000497,-0.997600,0.005501,0.000414,-0.000853,-0.018093,0.313547,0.279922,-0.002863,0.006883,-1.624701
0.005783,0.001233,-0.996804,0.002367,0.001394,0.003817,-0.017932,0.313554,0.278724,-0.002845,0.006899,-1.624663
0.004688,0.001958,-0.997128,0.001720,-0.001987,0.000439,-0.017721,0.313897,0.278866,-0.002809,0.006905,-1.624651
0.004952,0.002419,-0.995167,0.002834,-0.006377,0.002958,-0.017685,0.313593,0.279375,-0.002824,0.006839,-1.624608
0.005085,0.002159,-0.996237,0.004530,-0.006027,-0.002403,-0.018022,0.313653,0.280959,-0.002746,0.006780,-1.624607
0.006124,0.002021,-0.997004,0.001672,-0.003006,-0.002587,-0.017826,0.314089,0.280301,-0.002723,0.006743,-1.624639
0.005381,0.001012,-0.997964,0.000178,-0.008723,0.001918,-0.017775,0.313759,0.279251,-0.002709,0.006695,-1.624642
0.004020,0.000302,-0.997315,-0.003419,-0.000727,0.000852,-0.017694,0.313727,0.279755,-0.002726,0.006622,-1.624587
0.005379,0.001692,-0.996679,-0.000710,0.000944,-0.003353,-0.018009,0.313959,0.279835,-0.002728,0.006642,-1.624615
0.005303,0.002283,-0.995228,0.000490,-0.000727,-0.003491,-0.018265,0.313647,0.279069,-0.002722,0.006645,-1.624625
0.005083,0.002573,-0.995612,-0.003788,0.000876,-0.004922,-0.018119,0.314187,0.279309,-0.002733,0.006635,-1.624675
0.005622,0.002382,-0.996738,-0.003357,-0.000413,0.003106,-0.017626,0.314140,0.279002,-0.002771,0.006655,-1.624679
0.005735,0.001302,-0.996966,0.000473,-0.001033,-0.000742,-0.017425,0.313964,0.279786,-0.002787,0.006635,-1.624628
0.006662,0.001648,-0.995619,-0.001445,-0.000573,-0.001163,-0.017785,0.313878,0.280136,-0.002788,0.006638,-1.624648
0.006203,0.002434,-0.995194,0.002092,0.002122,-0.000529,-0.018153,0.314033,0.280098,-0.002787,0.006629,-1.624627
0.005746,0.001367,-0.996379,0.001817,0.005838,-0.004465,-0.018148,0.313822,0.279544,-0.002742,0.006654,-1.624636
0.005826,0.001418,-0.998424,-0.000898,0.000027,-0.002763,-0.018180,0.313411,0.279431,-0.002758,0.006719,-1.624683
0.005426,0.000771,-0.997178,-0.000705,-0.002157,-0.000468,-0.017856,0.313730,0.278169,-0.002761,0.006682,-1.624665
0.005480,0.000876,-0.995961,-0.000252,-0.003221,-0.004413,-0.017356,0.313135,0.277100,-0.002750,0.006656,-1.624706
0.005160,0.000588,-0.996069,0.000304,-0.001428,-0.002406,-0.017557,0.313616,0.277661,-0.002736,0.006633,-1.624716
